repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,extended_action,why_refine,
Classic-RBDOOM-3-BFG,.github/workflows/cmake.yml,build,Cache linux vcpkg,2022-11-06 21:11,updating_parameter,adding_cache,36.99068287,73c83c389be4de7c414e09f7df1ba0337e6464ac,0c5b3b742658e120acb6c0d98ddebc12612a339b,extending_cache,add,extending_cache,
wallet-contracts,.github/workflows/yarn-workflow.yml,test,<step_3>,2020-04-24 18:56,enable_cache,adding_cache,16.92030093,1ecbee0bab50aad75e50799a3475dff63ddaf04c,d9ee10132817092611c19905b73700b2bdd7f789,replacing_cache,add,extending_cache,
rails_event_store,.github/workflows/coverage.yml,other,<step_2>,2020-12-14 22:53,adding_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
rails_event_store,.github/workflows/rails_event_store_active_record.yml,sync,<step_1>,2020-12-14 22:53,removing_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
care,.github/workflows/deployment.yaml,build,Cache Docker layers,2023-09-12 6:18,removing_cache,adding_cache,34.46527778,b5e482c746aa21ca1a4a5a4df076c21c2d4f8f9b,cb33897f26227f10523211f040a888888d9ed1c1,replacing_cache,add,extending_cache,
rails_event_store,.github/workflows/rails_event_store_active_record.yml,integration,<step_2>,2020-12-14 22:53,adding_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
lefthook,.github/workflows/release.yml,release,Set up Go,2024-10-17 8:47,removing_cache,adding_cache,0,bf9d4e62cfc6e526eae4bfdc5c66b6fcbae6f4f7,bf9d4e62cfc6e526eae4bfdc5c66b6fcbae6f4f7,extending_cache,add,extending_cache,
django-cookie-law,.github/workflows/tests.yaml,test,Setup Pip Cache,2022-01-06 15:14,updating_parameter,adding_cache,0,203c10f92126fdf062bc6b9a3dbb06d3e8530ca6,203c10f92126fdf062bc6b9a3dbb06d3e8530ca6,fixing_cache,add,improve_cache,
rails_event_store,.github/workflows/ruby_event_store.yml,sync,<step_1>,2020-12-14 22:53,removing_parameter,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
feast,.github/workflows/java_master_only.yml,test,<step_8>,2023-03-04 6:32,adding_cache,adding_cache,424.4581481,be349054d3d70ff2a31b850ea2830d4928411b97,c86d594613b0fb1425451def4fc1d7a7496eea92,replacing_cache,add,improve_cache,
ever-gauzy,.github/workflows/test_currents.yml,test,<step_1>,2021-09-07 20:43,removing_cache,adding_cache,0,49d7db085d37a0e1e04586c6ee05e1fd4ad9ca5d,49d7db085d37a0e1e04586c6ee05e1fd4ad9ca5d,fixing_cache,add,extending_cache,
figma-plugin,.github/workflows/node.js.yml,build,Cache node modules,2023-03-19 9:15,removing_cache,adding_cache,3.504768519,5bb4a1d6ba4738a1e0a6e96f8176ebc7144dc943,270bb1f2508aa77cfcadaadbaf7670e19138d321,fixing_security,add,fix_security_issue,
