repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,why_v2,what,who,who_sub,extended_action,why_refine
rails_event_store,.github/workflows/rails_event_store.yml,sync,<step_2>,2020-12-23 10:05,updating_parameter,updating_parameter,698.5803588,92dc137f8b0da921afcf7b80c15c19de702be6b8,fae3ca9889e4de8adb85278d8135c20bd85e83b1,,fix_caching_issue,,,,update,others
transformers,.github/workflows/model-templates.yml,build,Loading cache.,2020-12-08 23:00,enable_cache,updating_parameter,490.6799421,67ff1c314a61a2d5949b3bb48fa3ec7e9b697d7e,0b8f697219a71d1fe2a8a359b2786a4d58f36e48,,fix_caching_issue,,,,update,update_dependency
rails_event_store,.github/workflows/ruby_event_store-browser_coverage.yml,analyze,<step_2>,2022-05-27 17:39,updating_parameter,updating_parameter,466.9154282,b393aa099253ce572346eaf3d99a72743676035d,4f027ca7e26e08a69e1301c50e5ac87d7f56b5eb,,mutation,,,,upgrade,update_dependency
website,.github/workflows/tests.yml,test,Set up Ruby,2021-05-22 0:14,cache_version_update,updating_parameter,0,909dd23e511b797bf5bc37b11d05bcc311c0cc8c,909dd23e511b797bf5bc37b11d05bcc311c0cc8c,,non_automated_update,,,,update,update_dependency
rails_event_store,.github/workflows/ruby_event_store-protobuf_coverage.yml,sync,<step_2>,2021-11-17 22:36,enable_cache,updating_parameter,369.0590741,27051ac68dae1806e82bc60bee5a90661961fee6,fae3ca9889e4de8adb85278d8135c20bd85e83b1,,fix_caching_issue,,,,update,others
imgpkg,.github/workflows/gh-test-external-registry.yml,test,Set up Go 1.x,2023-05-30 8:34,updating_parameter,updating_parameter,0,ddd16c97544371732f58f5903c70f1f6edce2781,ddd16c97544371732f58f5903c70f1f6edce2781,,upgrade_parameter_version,,,,upgrade,update_dependency
imgpkg,.github/workflows/golangci-lint.yml,integration,Set up Go 1.x,2022-11-30 20:33,updating_parameter,updating_parameter,13.79005787,1a9a17207dd88577bf8982c46870062b1250ecf7,eeaf079d4ade0f7cfc00e21efee27a0b887fe277,,upgrade_parameter_version,,,,upgrade,update_dependency
feast,.github/workflows/publish_java_sdk.yml,release,<step_3>,2024-12-11 20:44,enable_cache,updating_parameter,42.94020833,df74ee94fe8e029957d77d612d9db8f5198463c7,22b9138a3c0040f5779f7218522f2d96e750fbbf,,fix_caching_issue,,,,update,fixing_caching_issues
helmwave,.github/workflows/go-lint.yml,lint,<step_0>,2024-02-21 23:34,cache_version_update,updating_parameter,64.39645833,4b8cc89c4b3f52982fef0a5f92b3114fc78ded10,7d632b78caf4cdbef20d5b24b366924c52502bc7,,upgrade_parameter_version,,,,upgrade,update_dependency
flat,.github/workflows/deploy-storybook.yml,release,<step_2>,2022-03-31 2:02,updating_parameter,updating_parameter,0,72d07e155979a296b35fd8ec4008edaf367805f5,72d07e155979a296b35fd8ec4008edaf367805f5,,migration,,,,update,migration
