owner_repo,repository,language,topics,stars,forks,watchers,contributors,commits,first_commit,last_commit,pull_requests,issues,created_at,pushed_at,license,archived,disabled
helloflask/bootstrap-flask,bootstrap-flask,SCSS,"bootstrap, bootstrap-flask, bootstrap4, bootstrap5, flask, flask-bootstrap, flask-sqlalchemy, flask-wtf, jinja2, python, wtforms",1168,193,28,39,595,2018-02-10 17:06:05+08:00,2025-05-06 11:49:36+02:00,190,141,2018-02-10T09:06:04Z,2025-06-19T04:32:40Z,Other,False,False
loco-3d/crocoddyl,crocoddyl,C++,"code-generation, conda, crocoddyl, differential-dynamic-programming, legged-robotics, model-predictive-control, motion-planning, optimal-control, robotics, ros, trajectory-optimization",1007,190,26,66,6437,2018-04-03 11:37:31+02:00,2025-05-13 10:32:57+01:00,512,832,2019-06-04T11:46:13Z,2025-07-08T05:54:19Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
hmlendea/gfn-electron,gfn-electron,JavaScript,"electron, flatpak, game-streaming, geforcenow, linux, linux-gaming, nvidia, snap",600,78,15,27,435,2020-08-19 12:17:11+03:00,2025-04-15 11:28:41+00:00,129,108,2020-08-19T09:17:10Z,2025-06-12T17:01:19Z,GNU General Public License v3.0,False,False
C2FO/vfs,vfs,Go,,342,35,25,31,246,2017-08-07 16:40:51-05:00,2025-05-05 01:07:52-05:00,167,78,2017-08-01T18:06:14Z,2025-07-08T21:53:35Z,MIT License,False,False
estruyf/vscode-front-matter,vscode-front-matter,TypeScript,"cms, content-management, content-management-system, hacktoberfest, markdown, static-site, static-site-generator, vscode, vscode-extension",2246,90,15,23,2072,2019-08-23 17:46:23+02:00,2025-04-16 11:25:12+02:00,134,646,2019-08-23T15:44:41Z,2025-07-03T18:18:02Z,MIT License,False,False
MichaelSolati/geofirestore-js,geofirestore-js,TypeScript,"firebase, firebase-firestore, firestore, geofire, geofirestore, geohashing, geolocation, geoquery",509,58,15,36,818,2013-09-25 16:31:48-07:00,2023-10-27 13:18:02-07:00,62,174,2018-03-11T07:49:32Z,2025-06-30T00:36:05Z,MIT License,False,False
flobz/psa_car_controller,psa_car_controller,Python,"2008, 208, api, citroen, connected-car, corsa-e, ds, e-208, home-assistant, home-automation, opel, peugeot, psa, psacc, vauxhall",482,287,36,102,903,2020-11-15 09:18:50+01:00,2025-04-09 18:10:06+02:00,257,498,2020-11-15T08:18:49Z,2025-06-23T06:02:14Z,GNU General Public License v3.0,False,False
mattallty/Caporal.js,Caporal.js,TypeScript,"argument-parser, argument-parsing, argv, argv-parser, autocomplete, bash, caporal, cli, cli-app, command-line, command-line-parser, node, node-js, nodejs, shell-script, terminal, typos-suggestions, winston, zsh",3450,96,34,43,290,2017-02-15 14:04:24+01:00,2023-08-28 15:19:08+00:00,130,103,2017-02-08T22:06:55Z,2024-01-03T21:58:32Z,MIT License,False,False
Serverless-Devs/Serverless-Devs,Serverless-Devs,TypeScript,"alibaba-serverless, aws-serverless, azure-serverless, baidu-serverless, google-serverless, huawei-serverless, serverless, serverless-devs, serverless-devs-tool, serverless-framework, serverless-tool, tencent-serverless",1760,163,32,53,1933,2020-10-21 23:01:52+08:00,2025-05-13 11:48:56+00:00,334,441,2020-10-21T15:00:37Z,2025-06-18T07:59:51Z,Apache License 2.0,False,False
evilmartians/lefthook,lefthook,Go,"git, go, golang, hacktoberfest, hooks, lefthook, manager",6193,237,27,109,969,2019-02-05 17:02:45+03:00,2025-05-14 14:50:04+03:00,528,356,2019-02-05T14:00:56Z,2025-07-09T08:38:46Z,MIT License,False,False
komamitsu/fluency,fluency,Java,"aws-s3, fluentd, logger, s3, treasuredata",156,34,5,20,968,2015-09-14 01:28:57+09:00,2024-12-05 11:10:46+09:00,850,66,2015-09-27T16:42:26Z,2025-02-26T04:45:15Z,Apache License 2.0,False,False
linkchecker/linkchecker,linkchecker,Python,"http, link-checker, tools, web, www",960,157,13,63,7189,2000-02-26 10:24:46+00:00,2025-04-07 19:34:33+01:00,495,255,2017-01-31T15:46:03Z,2025-04-07T18:34:33Z,GNU General Public License v2.0,False,False
linlinjava/litemall,litemall,Java,"litemall, mall, spring-boot, vue, wechat, wechat-mini-program",19791,7310,730,76,1189,2018-03-23 00:20:50+08:00,2025-01-04 19:44:27+08:00,183,332,2018-03-22T16:42:30Z,2025-01-04T11:44:29Z,MIT License,False,False
filhodanuvem/gitql,gitql,Go,"git, go, hacktoberfest",6303,163,93,32,318,2014-02-16 23:53:53-03:00,2024-06-14 23:38:58+01:00,144,64,2014-02-17T02:19:11Z,2024-10-14T14:32:41Z,MIT License,False,False
wessberg/rollup-plugin-ts,rollup-plugin-ts,TypeScript,"babel, browserslist, bundling, declaration, declarations, flattening, plugin, rollup, typescript",496,33,9,13,863,2018-03-30 00:24:52+02:00,2024-09-30 22:49:04+02:00,34,154,2018-03-29T22:24:25Z,2024-09-30T20:49:07Z,MIT License,False,False
aeternity/aepp-sdk-js,aepp-sdk-js,TypeScript,"aeternity, blockchain, browser, devtools, js, nodejs, sdk",120,60,18,54,3775,2018-02-07 18:43:13+01:00,2025-04-30 00:07:29+03:00,1365,610,2018-02-09T18:05:18Z,2025-05-01T16:24:05Z,ISC License,False,False
pgmpy/pgmpy,pgmpy,Python,"bayesian-networks, causal-discovery, causal-identification, causal-inference, causal-models, causal-validation, mixed-data, probabilistic-inference, python, simulation, synthetic-data",2995,860,75,150,3156,2013-09-20 01:18:58-07:00,2025-05-15 10:45:37+02:00,1018,727,2013-09-20T08:18:58Z,2025-07-07T03:58:02Z,MIT License,False,False
rozbo/blog,blog,JavaScript,"blog-lite, typescript, vue, vuejs",147,15,5,4,158,2016-10-22 19:25:33+08:00,2022-02-26 18:18:57+08:00,0,0,2016-10-22T11:25:07Z,2023-10-08T10:13:24Z,Do What The F*ck You Want To Public License,False,False
facebook/metro,metro,JavaScript,"bundler, javascript, react-native",5414,660,99,509,4743,2015-01-29 17:10:49-08:00,2025-05-15 15:10:02-07:00,678,375,2016-12-14T23:02:54Z,2025-07-09T19:11:10Z,MIT License,False,False
graphia-app/graphia,graphia,C++,"analysis, data, data-analysis, data-science, data-visualization, graphs, interpretation, networks, visualisation, visualization",251,22,8,3,7076,2013-07-31 17:17:09+01:00,2025-05-03 17:22:34+01:00,10,33,2020-05-02T14:45:55Z,2025-07-04T11:00:14Z,,False,False
adlered/bolo-solo,bolo-solo,Java,"b3log, blog, bolo, bolo-solo, docker, java, solo, tomcat",1303,207,16,18,1315,2019-11-28 21:28:16+08:00,2025-05-15 23:41:36+08:00,0,0,2019-11-28T13:27:48Z,2025-06-10T12:35:18Z,GNU Affero General Public License v3.0,False,False
igorw/evenement,evenement,PHP,,1317,74,31,19,204,2011-08-16 21:39:40+02:00,2024-12-28 19:30:43+01:00,66,22,2011-08-16T19:14:57Z,2024-12-28T18:30:43Z,MIT License,False,False
Electroid/SportPaper,SportPaper,Shell,"bukkit, java, minecraft, paper",213,78,21,26,138,2018-08-03 23:36:33-07:00,2024-07-20 11:44:14-07:00,65,58,2018-08-03T09:49:01Z,2025-07-04T04:27:39Z,Other,False,False
itzg/docker-minecraft-bedrock-server,docker-minecraft-bedrock-server,Shell,"docker-image, hacktoberfest, minecraft",1450,264,25,48,190,2019-07-09 21:02:37-05:00,2025-05-03 11:58:13-05:00,123,208,2019-07-10T02:01:14Z,2025-06-30T00:52:53Z,MIT License,False,False
mobizt/Firebase-ESP8266,Firebase-ESP8266,C,"arduino, arduino-library, completed, custom-token, database, email-password-login, esp8266, esp8266-arduino, fastest, firebase, firebase-database, firebase-realtime-database, oauth2-authentication, reliable, rp2040, rsa256, secure, secured, stream",420,111,19,2,368,2019-01-27 23:34:54+07:00,2025-01-09 10:24:11+07:00,7,0,2019-01-27T16:31:52Z,2025-01-09T03:24:22Z,MIT License,False,False
TyMaszWeb/django-cookie-law,django-cookie-law,Python,,140,69,8,23,133,2013-04-07 17:14:39+02:00,2022-03-11 11:10:32+01:00,51,16,2013-04-07T15:06:32Z,2022-09-25T13:18:47Z,"BSD 2-Clause ""Simplified"" License",False,False
zussel/matador,matador,C++,"c-plus-plus, cmake, cplusplus, cpp, database, http, http-client, http-server, json, mariadb, mssql, multiplatform, mysql, orm, postgresql, sqlite, storage",64,23,8,10,3581,2011-07-21 22:48:17+02:00,2024-01-15 19:34:56+01:00,42,103,2011-07-21T20:49:54Z,2024-12-21T07:34:30Z,GNU General Public License v3.0,False,False
target/goalert,goalert,Go,,2457,259,33,88,12923,2019-06-03 12:31:23-05:00,2025-05-07 09:17:33-05:00,3827,370,2019-05-24T16:46:20Z,2025-07-09T21:20:35Z,Apache License 2.0,False,False
wireservice/agate,agate,Python,,1185,154,40,57,1562,2014-04-24 15:23:36-05:00,2025-02-27 14:54:56-05:00,132,645,2014-04-25T13:59:09Z,2025-06-10T04:03:40Z,MIT License,False,False
CocoaPods/Xcodeproj,Xcodeproj,Ruby,,2398,472,47,182,2261,2011-11-10 21:40:12-07:00,2024-10-31 10:13:08-07:00,463,335,2011-11-07T10:59:27Z,2024-10-31T17:13:08Z,MIT License,False,False
LKI/chinese-calendar,chinese-calendar,Python,"calendar, chinese-calendar, chinese-holiday, holidays, public-holidays, python, workdays",1202,196,27,14,169,2017-06-02 20:22:29+08:00,2024-11-13 13:42:02+08:00,36,64,2017-06-04T08:41:18Z,2024-11-13T05:42:15Z,MIT License,False,False
knuckleswtf/scribe,scribe,PHP,,2064,345,15,245,2605,2016-05-03 22:21:20+02:00,2025-05-01 03:14:54+02:00,277,611,2020-05-02T16:36:45Z,2025-06-30T21:32:53Z,MIT License,False,False
awtrix/AWTRIX2.0-Controller,AWTRIX2.0-Controller,C++,,383,132,27,9,205,2019-02-06 19:53:35+01:00,2023-06-09 19:19:46+02:00,16,34,2019-02-06T18:46:57Z,2023-10-23T20:03:41Z,Other,True,False
docker/go-connections,go-connections,Go,,224,102,18,145,8480,2013-01-18 16:13:39-08:00,2025-05-14 12:59:35+02:00,98,15,2015-12-17T20:51:16Z,2025-07-01T10:15:41Z,Apache License 2.0,False,False
mglaman/drupalorg-cli,drupalorg-cli,PHP,"cli, drupal",129,32,3,17,306,2016-02-13 12:04:05-06:00,2023-06-20 22:40:25-05:00,153,35,2016-02-13T18:01:06Z,2024-01-27T16:57:02Z,,False,False
spatie/laravel-webhook-client,laravel-webhook-client,PHP,"laravel, webhooks",1106,157,7,52,269,2019-06-11 17:30:00+01:00,2025-04-22 09:32:52+02:00,88,94,2019-06-11T15:19:12Z,2025-06-27T16:02:43Z,MIT License,False,False
Erudika/para,para,Java,"api, api-server, baas, back-end, backend, backend-api, backend-as-a-service, backend-server, backend-service, java, json-api, modular, para, rapid-prototyping, rest-api, search-engine, self-hosted, serverless, standalone-server",545,148,27,20,1914,2013-07-15 22:02:06+03:00,2025-05-13 13:45:44+03:00,216,72,2014-03-09T22:31:26Z,2025-06-16T08:21:39Z,Apache License 2.0,False,False
data-uri/datauri,datauri,TypeScript,"base64, cli, css, data-uri, inline, metadata, optimization",229,19,6,10,154,2012-09-11 15:17:51-07:00,2021-08-22 05:55:41-07:00,23,15,2012-09-11T22:17:50Z,2025-06-15T14:46:18Z,Other,False,False
kpfromer/nestjs-typegoose,nestjs-typegoose,TypeScript,"mongoose, nest, nestjs, nestjs-typegoose, typegoose, typescript",288,73,7,18,539,2018-04-15 21:55:54-04:00,2021-08-14 15:43:52-06:00,335,53,2018-04-16T01:55:53Z,2025-06-07T02:47:31Z,MIT License,False,False
Netflix/photon,photon,Java,,242,78,402,35,869,2015-12-09 17:15:39-08:00,2024-11-20 10:05:36-08:00,278,72,2015-12-09T19:09:07Z,2025-03-28T21:38:49Z,Apache License 2.0,False,False
Netflix/dyno,dyno,Java,,186,95,410,50,608,2014-03-26 14:23:42-07:00,2021-08-17 11:45:12-07:00,217,45,2014-03-26T21:23:42Z,2024-12-10T22:28:38Z,Apache License 2.0,False,False
Netflix/metacat,metacat,Java,,1659,289,399,36,603,2016-03-19 13:17:58-07:00,2025-05-12 10:25:02-07:00,570,21,2016-03-19T20:06:34Z,2025-07-02T17:32:01Z,Apache License 2.0,False,False
gtimelog/gtimelog,gtimelog,Python,,262,78,18,41,1151,2004-09-08 16:50:39+00:00,2025-01-20 14:05:23+02:00,73,128,2013-11-27T08:17:17Z,2025-01-20T12:06:39Z,GNU General Public License v2.0,False,False
keremvaris/Sennedjem,Sennedjem,C#,,212,34,36,5,267,2020-01-30 16:36:30+03:00,2021-01-02 23:52:50+03:00,8,0,2020-01-30T12:40:15Z,2021-08-25T14:53:52Z,MIT License,False,False
vercel-community/deno,deno,TypeScript,,572,24,6,14,316,2020-05-24 20:54:09-07:00,2024-12-18 11:17:39-08:00,122,33,2020-05-25T03:55:02Z,2025-06-15T02:13:31Z,MIT License,False,False
preactjs/preact-router,preact-router,JavaScript,"preact, preact-components, preact-router, router",1040,156,14,61,293,2015-11-18 21:50:03-05:00,2024-06-23 18:55:39-05:00,231,146,2015-11-19T01:04:24Z,2024-07-29T18:35:53Z,MIT License,False,False
HiddenRamblings/TagMo,TagMo,JavaScript,"amiibo, nfc",3071,388,137,29,2201,2016-01-31 21:44:24+00:00,2025-05-13 11:43:59-04:00,88,645,2016-02-01T23:48:36Z,2025-06-20T09:59:59Z,GNU General Public License v3.0,False,False
lyft/presto-gateway,presto-gateway,JavaScript,lyft,358,156,420,39,303,2018-09-21 15:20:10-07:00,2024-07-25 17:06:52-04:00,133,32,2018-09-21T22:18:02Z,2024-07-25T21:06:53Z,Apache License 2.0,False,False
yiisoft/yii2-swiftmailer,yii2-swiftmailer,PHP,"email, hacktoberfest, mail, mailer, swiftmailer, yii, yii2",116,72,26,145,4658,2011-04-14 09:05:15-04:00,2025-02-13 23:56:21+03:00,35,72,2013-11-08T03:38:16Z,2025-02-13T20:56:25Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
svg-sprite/gulp-svg-sprite,gulp-svg-sprite,JavaScript,,650,43,12,17,170,2014-12-27 17:06:54+01:00,2025-02-20 19:40:30+02:00,49,93,2014-12-30T15:50:59Z,2025-02-20T17:40:33Z,MIT License,False,False
xmartlabs/android-snapshot-publisher,android-snapshot-publisher,Kotlin,"android, android-development, android-snapshot-publisher, ci, deploy, firebase, firebase-app-distribution, google-playstore, gradle-plugin, gradle-tasks, hacktoberfest, preparation-process, release-automation, snapshot, snapshots",145,6,15,4,66,2019-01-16 11:12:16-03:00,2022-02-01 11:49:05-03:00,66,7,2019-01-16T14:12:15Z,2024-06-10T18:17:15Z,MIT License,False,False
4refr0nt/ESPlorer,ESPlorer,Java,,1241,325,117,22,107,2014-12-29 22:14:49+05:00,2024-07-03 00:54:20+03:00,32,21,2014-12-29T17:14:49Z,2024-07-02T21:54:20Z,GNU General Public License v2.0,False,False
ralfstuckert/pdfbox-layout,pdfbox-layout,Java,,159,71,17,3,290,2016-03-19 09:29:30+01:00,2021-10-22 17:33:19+02:00,1,43,2016-03-19T08:29:30Z,2021-10-22T15:33:20Z,MIT License,False,False
MadDeCoDeR/Classic-RBDOOM-3-BFG,Classic-RBDOOM-3-BFG,C++,"doom, doom-2, doom-mod, doom2, doom2d, doom3",227,23,15,52,2565,2012-11-26 09:22:41-08:00,2025-05-15 23:35:00+03:00,30,89,2017-04-04T08:48:51Z,2025-07-08T20:47:27Z,GNU General Public License v3.0,False,False
apache/servicecomb-java-chassis,servicecomb-java-chassis,Java,servicecomb,1927,824,131,183,4534,2017-05-18 06:23:32-04:00,2025-05-08 16:27:28+08:00,3314,1313,2017-05-18T09:29:30Z,2025-07-09T03:30:31Z,Apache License 2.0,False,False
openhab/openhab-core,openhab-core,Java,"home-automation, internet-of-things, iot, java, openhab",1031,448,56,150,2842,2015-12-26 23:22:23+01:00,2025-05-11 13:12:47+02:00,3018,1349,2015-12-20T21:23:20Z,2025-07-09T18:53:38Z,Eclipse Public License 2.0,False,False
MightyCreak/mesamatrix,mesamatrix,PHP,,124,31,9,30,578,2014-08-23 10:34:17-04:00,2025-02-23 15:49:12+01:00,167,129,2014-08-23T14:34:17Z,2025-05-24T19:21:21Z,GNU Affero General Public License v3.0,False,False
geany/geany,geany,C,"geany, ide, text-editor",3332,625,94,265,10584,2005-11-22 11:51:30+00:00,2025-05-16 00:37:44+02:00,1456,1405,2011-10-07T14:25:32Z,2025-07-06T14:38:19Z,GNU General Public License v2.0,False,False
nemuTUI/nemu,nemu,C,"ncurses-ui, qemu, tui",417,24,10,25,1851,2014-03-06 17:59:12+04:00,2025-04-23 15:10:03+03:00,71,103,2019-11-15T11:40:27Z,2025-06-23T08:48:05Z,"BSD 2-Clause ""Simplified"" License",False,False
reactjs/tr.reactjs.org,tr.reactjs.org,TypeScript,,169,175,13,2315,8906,2013-05-29 12:54:02-07:00,2025-05-15 10:49:24-04:00,0,0,2019-02-13T21:47:44Z,2025-07-07T21:50:31Z,Creative Commons Attribution 4.0 International,False,False
joncampbell123/dosbox-x,dosbox-x,C,,3141,427,103,190,20157,2013-07-07 20:39:49-07:00,2025-05-16 07:36:34+09:00,1611,2086,2014-05-17T07:34:15Z,2025-06-25T13:00:15Z,GNU General Public License v2.0,False,False
doctrine/phpcr-odm,phpcr-odm,PHP,,182,99,12,104,2673,2010-12-06 10:54:08+01:00,2025-03-24 06:40:23+01:00,636,174,2011-02-10T21:22:18Z,2025-03-24T05:40:23Z,MIT License,False,False
algoan/nestjs-components,nestjs-components,TypeScript,"components, lerna, nestjs, nodejs, typescript",253,40,9,23,730,2020-03-30 15:03:17+02:00,2025-03-19 11:33:19+01:00,879,25,2020-03-30T12:51:38Z,2025-07-02T04:26:00Z,,False,False
Haehnchen/idea-php-laravel-plugin,idea-php-laravel-plugin,Java,"blade, intellij, intellij-plugin, java, jetbrains, laravel, php, phpstorm, phpstorm-plugin, symfony",574,110,23,13,334,2014-08-14 19:10:09+02:00,2021-12-13 18:32:53+01:00,61,115,2014-08-14T16:38:46Z,2021-12-13T17:32:53Z,MIT License,True,False
pnnl/HyperNetX,HyperNetX,Python,"hypergraph, hypergraphs, knowledge-graph, property-hypergraphs, python, s-linegraph, simplicial-complexes, simplicial-homology",626,104,19,28,1768,2018-10-22 10:21:30-07:00,2025-04-17 01:43:04+00:00,99,58,2018-10-22T15:10:44Z,2025-04-17T01:58:39Z,Other,False,False
percona/percona-backup-mongodb,percona-backup-mongodb,Go,"backup, mongodb, mongodb-backup, pbm, percona-backup",284,97,51,59,2294,2018-07-04 10:56:49-03:00,2025-05-15 15:05:35+02:00,1118,0,2018-06-28T13:38:35Z,2025-07-08T12:06:15Z,Apache License 2.0,False,False
robbievanleeuwen/section-properties,section-properties,Python,"computational-mechanics, cross-section, finite-element-analysis, finite-element-method, python, stress-analysis, structural-engineering",479,109,36,21,1458,2017-09-24 13:16:40+02:00,2025-05-01 23:51:31+10:00,353,124,2017-09-24T11:16:40Z,2025-05-01T13:51:34Z,MIT License,False,False
FujiNetWIFI/fujinet-platformio,fujinet-platformio,C,"8bit, adam, atari, esp-idf, esp32",249,76,29,59,7154,2019-11-03 15:47:13-06:00,2025-05-14 16:37:01-05:00,0,0,2019-11-03T21:48:00Z,2025-07-06T02:38:17Z,GNU General Public License v3.0,False,False
PyCQA/flake8-pyi,flake8-pyi,Python,"flake8, lint, linter, linter-plugin, mypy, pep484, python, stub-files, type-checking, typing",77,23,10,22,393,2016-12-21 00:29:31-08:00,2025-04-07 23:05:51+01:00,364,124,2016-12-21T08:28:28Z,2025-07-07T21:49:08Z,MIT License,False,False
mauricioaniche/ck,ck,Java,"code-metrics, metrics, software-engineering, static-analysis",409,158,16,29,519,2015-10-05 08:13:12-03:00,2024-04-19 09:24:22+01:00,60,36,2015-10-05T11:13:34Z,2024-08-20T13:30:52Z,Apache License 2.0,False,False
fitnr/censusgeocode,censusgeocode,Python,,76,28,4,7,100,2015-04-13 12:07:15-04:00,2024-05-13 13:13:05-04:00,10,18,2015-04-13T16:03:17Z,2025-04-06T19:38:35Z,GNU General Public License v3.0,False,False
jenkinsci/dingtalk-plugin,dingtalk-plugin,Java,"dingtalk, jenkins, robot",360,181,11,16,349,2016-08-23 13:28:17+08:00,2025-05-14 21:24:36+08:00,185,136,2016-10-30T22:37:50Z,2025-07-09T15:49:48Z,MIT License,False,False
fgnt/pb_bss,pb_bss,Python,"beamforming, bss, em-algorithm, multi-channel, source-separation, speech-enhancement, speech-processing",288,61,12,29,701,2015-07-28 12:14:12+02:00,2024-11-04 16:09:03+01:00,27,9,2017-06-05T07:11:09Z,2025-05-19T09:09:42Z,MIT License,False,False
huggingface/transformers,transformers,Python,"audio, deep-learning, deepseek, gemma, glm, hacktoberfest, llm, machine-learning, model-hub, natural-language-processing, nlp, pretrained-models, python, pytorch, pytorch-transformers, qwen, speech-recognition, transformer, vlm",146713,29591,1155,3234,18958,2018-10-29 14:56:02+01:00,2025-05-15 16:58:50+02:00,19626,16165,2018-10-29T13:56:00Z,2025-07-09T21:46:22Z,Apache License 2.0,False,False
wechaty/getting-started,getting-started,JavaScript,"bot, chatbot, getting-started, video-tutorial, wechat, wechaty",837,357,19,31,771,2017-01-12 18:14:03+08:00,2024-05-10 12:10:14-07:00,124,99,2017-01-12T10:12:48Z,2024-05-10T19:10:14Z,Apache License 2.0,False,False
CodeForPhilly/chime,chime,Python,"code-for-america, code-for-philly, covid-19, epidemics, epidemiology, penn",209,153,26,64,1655,2020-03-13 19:11:44-04:00,2023-03-01 11:20:43-05:00,321,262,2020-03-17T15:54:27Z,2023-03-04T01:47:53Z,MIT License,False,False
