owner_repo,repository,language,topics,stars,forks,watchers,contributors,commits,first_commit,last_commit,pull_requests,issues,created_at,pushed_at,license,archived,disabled
vert-x3/vertx-cassandra-client,vertx-cassandra-client,Java,"cassandra, cassandra-client, perforomance, reactive, vertx",33,17,21,15,440,2018-05-03 14:51:55+03:00,2025-05-14 13:15:05+00:00,50,35,2018-08-14T16:14:36Z,2025-06-24T12:30:26Z,Apache License 2.0,False,False
airbnb/lottie-android,lottie-android,Java,"after-effects, airbnb, android, animation, lottie",35400,5438,843,171,1645,2016-08-12 13:43:54-07:00,2025-04-09 19:56:50-07:00,808,1737,2016-10-06T22:42:42Z,2025-06-29T18:59:26Z,Apache License 2.0,False,False
tymondesigns/jwt-auth,jwt-auth,PHP,"authentication, jwt, laravel, php",11413,1551,260,84,1503,2014-09-04 22:50:50+01:00,2025-04-16 23:27:46+01:00,614,1052,2014-09-04T21:50:50Z,2025-04-16T22:27:46Z,MIT License,False,False
vmware/vcd-ext-sdk,vcd-ext-sdk,TypeScript,,42,39,20,24,201,2018-02-16 14:49:47-06:00,2023-07-11 14:46:32+03:00,0,0,2018-02-16T20:49:45Z,2023-07-11T11:46:32Z,Other,True,False
hetznercloud/hcloud-cloud-controller-manager,hcloud-cloud-controller-manager,Go,"hcloud, hetzner, hetzner-cloud, kubernetes",799,124,19,52,543,2018-01-24 16:32:16+01:00,2025-05-07 16:35:08+02:00,569,321,2018-01-24T15:27:24Z,2025-07-09T15:00:53Z,Apache License 2.0,False,False
Netflix/dgs-framework,dgs-framework,Kotlin,"dgs, graphql, graphql-java, java, spring-boot",3235,315,234,124,1797,2020-12-01 14:15:25-08:00,2025-04-29 09:55:37-07:00,965,451,2020-11-30T23:54:32Z,2025-07-09T15:09:38Z,Apache License 2.0,False,False
tobi-wan-kenobi/bumblebee-status,bumblebee-status,Python,"gruvbox, hacktoberfest, i3bar, i3wm, nord, powerline, solarized",1257,234,18,215,2883,2016-10-30 15:07:21+01:00,2025-04-12 18:09:37+02:00,498,501,2016-10-30T14:07:20Z,2025-07-06T08:54:47Z,MIT License,False,False
tancredi/fantasticon,fantasticon,TypeScript,,995,113,8,12,438,2019-03-17 17:07:41+00:00,2024-04-08 15:28:10+02:00,466,39,2020-10-05T01:00:00Z,2024-07-08T04:36:59Z,MIT License,False,False
moby/buildkit,buildkit,Go,"builder, buildkit, cloud-native, containers, docker, dockerfile, go, golang, oci, oci-image",9191,1263,128,383,7953,2015-12-14 14:59:52+01:00,2025-05-15 21:41:17+09:00,3562,1367,2017-05-31T17:04:10Z,2025-07-03T00:27:16Z,Apache License 2.0,False,False
ether/ueberDB,ueberDB,TypeScript,,268,94,19,52,1282,2011-05-08 16:16:44+01:00,2025-04-08 17:50:20+00:00,777,65,2011-05-08T15:06:29Z,2025-06-26T13:03:40Z,Apache License 2.0,False,False
phparkitect/arkitect,arkitect,PHP,"architecture, hacktoberfest, php, testing",825,47,10,44,687,2020-07-01 10:53:18+02:00,2025-05-14 09:09:26+02:00,298,164,2020-06-30T18:53:21Z,2025-07-08T09:35:32Z,MIT License,False,False
jpd002/Play-,Play-,C++,"cpp, emulation, emulator, playstation-2",2379,298,194,75,8488,2006-06-15 04:19:19+00:00,2025-05-12 12:39:47-04:00,386,684,2014-02-23T08:45:33Z,2025-07-09T13:00:34Z,Other,False,False
TypeStrong/fork-ts-checker-webpack-plugin,fork-ts-checker-webpack-plugin,TypeScript,"babel-loader, checker, eslint, plugin, speedup, ts-loader, typescript, vue, webpack, webpack-plugin",1984,246,18,101,645,2017-04-25 14:40:38+02:00,2025-04-03 18:09:00+02:00,417,414,2017-04-25T12:26:02Z,2025-04-03T16:20:10Z,MIT License,False,False
ever-co/ever-gauzy,ever-gauzy,TypeScript,"accounting, billing, bookkeeping, crm, crm-platform, erp, expenses, hr, human-resources, invoices, invoicing, issue-tracker, payroll, productivity, project-management, salary, team-management, time-tracker, time-tracking, timetracking",3074,640,52,121,25477,2019-06-02 12:47:13+03:00,2025-05-15 16:17:43+05:30,7036,1509,2019-06-02T09:47:13Z,2025-07-09T18:23:03Z,GNU Affero General Public License v3.0,False,False
YusukeHosonuma/SwiftPrettyPrint,SwiftPrettyPrint,Swift,"ios, pretty-print, swift",326,21,3,21,593,2020-02-14 11:52:11+09:00,2022-06-20 09:07:58+09:00,137,50,2020-02-14T02:52:10Z,2024-09-03T20:56:14Z,MIT License,False,False
nodejs/nodejs-ko,nodejs-ko,Stylus,"korean, node, nodejs",264,67,39,42,1205,2015-02-08 07:05:45+09:00,2022-04-09 11:30:03-07:00,582,615,2015-02-07T20:00:23Z,2022-09-08T06:11:18Z,Other,True,False
GraphQL-Portal/graphql-portal,graphql-portal,TypeScript,"api, gateway, graphql, graphql-gateway, graphql-portal, typescript",227,12,7,15,1088,2020-12-01 11:09:39+01:00,2021-09-06 13:03:42+03:00,583,6,2020-12-01T10:09:37Z,2025-06-01T20:16:40Z,MIT License,False,False
